"","county","year","dem.vote","dem.vote.perc","rep.vote","rep.vote.perc","oth.vote","oth.vote.perc","num.diff","perc.diff","winning.party","winner","turnout","turnout.perc","total.voting.age","dem.change","rep.change","oth.change","swing.num","swing.perc","swing.turnout","swing.turnout.perc","dem.wins","mostly.dem","dem.2016","most.turnout.drop","most.turnout.drop","use.machines.prop","machine.most.used","all.machines","ftotinc"
"38","Marinette",2016,6243,31.25,12995,65.04,741,3.72,6752,33.79,"Rep","Trump",19979,59.0570499556607,33830,-16.3122082110025,13.9306001828946,2.391608028108,6015,30.2428083938971,-798,-3.34758751655656,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.08,"ES&S","Some or no voting machines",NA
"39","Marquette",2016,2808,35.94,4712,60.31,293,3.74,1904,24.37,"Rep","Trump",7813,62.1856096784464,12564,-13.5849845774213,11.0564528069093,2.51853177051203,1926,24.6414373843307,-292,-3.36230783065191,2,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no voting machines",NA
"40","Menominee",2016,1003,78.42,269,21.03,7,0.55,-734,-57.39,"Dem","Clinton",1279,44.1186616074508,2899,-8.07237472766884,8.03072621641249,0.0416485112563545,278,16.1031009440813,-98,-4.14632261967849,5,"Mostly Dem","Dem2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly voting machines",NA
"41","Milwaukee",2016,288986,66.44,126091,28.99,19893,4.57,-162895,-37.45,"Dem","Clinton",434970,59.8842708277403,726351,-1.04968687065549,-2.46179627103229,3.51148314168778,14619,-1.4121094003768,-57606,-9.02164409462835,5,"Mostly Dem","Dem2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly voting machines",139936.465798353
"42","Monroe",2016,7047,36.04,11442,58.51,1065,5.45,4395,22.47,"Rep","Trump",19554,57.5676391792033,33967,-12.7924352065692,8.85642032332564,3.93601488324352,4235,21.6488555298948,69,-0.720075080870238,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.147058823529412,"ES&S","Some or no voting machines",NA
"43","Oconto",2016,5886,29.54,13255,66.53,783,3.94,7369,36.99,"Rep","Trump",19924,66.504222437331,29959,-15.099709955184,12.443691525253,2.66601842993101,5493,27.5434014804371,65,-0.850953251177998,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.642857142857143,"ES&S","Some or no voting machines",NA
"44","Oneida",2016,8103,38.89,11677,56.04,1057,5.08,3574,17.15,"Rep","Trump",20837,69.4288951086232,30012,-9.38267688897099,5.61971549972289,3.77296138924811,3109,15.0023923886939,-815,-3.87825548725978,1,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",0.619047619047619,"ES&S","Some or no voting machines",NA
"45","Outagamie",2016,38117,40.05,51579,54.2,5466,5.74,13462,14.15,"Rep","Trump",95162,69.9283536025278,136085,-8.2173685990951,4.12177259080723,4.08559600828788,11749,12.3391411899023,566,-0.702573000921731,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.67741935483871,"ES&S","Some or no voting machines",84720.3654280293
"46","Ozaukee",2016,20167,37.79,30458,57.07,2743,5.15,10291,19.28,"Rep","Trump",53368,78.994656522447,67559,3.46533188813444,-7.5644303706756,4.10909848254116,-6627,-11.02976225881,-2449,-4.95456816133523,0,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly voting machines",NA
"47","Pepin",2016,1345,35.9,2228,59.48,173,4.62,883,23.58,"Rep","Trump",3746,63.685821149269,5882,-14.8164098404974,10.9804055150041,3.83600432549338,965,25.7968153555015,47,-0.222264545271479,4,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0,NA,"Some or no voting machines",NA
"48","Pierce",2016,8380,39.74,11260,53.39,1449,6.87,2880,13.65,"Rep","Trump",21089,64.7279089039624,32581,-8.95172216936251,3.92758325404377,5.02413891531874,2718,12.8793054234063,69,-0.826433837344297,3,"Mostly Dem","Rep2016","Little turnout change 2016","Little turnout change 2016",0.76,"ES&S","Mostly voting machines",NA
"49","Polk",2016,7568,33.35,13864,61.1,1259,5.54,6296,27.75,"Rep","Trump",22691,65.9219662415386,34421,-11.274108448146,7.52271740575024,3.74139104239578,4275,18.7968258538962,118,-0.712229058969143,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.285714285714286,"ES&S","Some or no voting machines",NA
"50","Portage",2016,18524,48.59,17310,45.41,2289,6.01,-1214,-3.18000000000001,"Dem","Clinton",38123,66.5962092759193,57245,-7.52765004957165,3.17241197854437,4.36523807102728,4246,10.700062028116,-1214,-3.22700063568566,5,"Mostly Dem","Dem2016","Little turnout change 2016","Little turnout change 2016",0.407407407407407,"ES&S","Some or no voting machines",NA
"51","Price",2016,2671,35.33,4562,60.34,327,4.33,1891,25.01,"Rep","Trump",7560,65.1218881901973,11609,-13.8663042652829,11.1816656119479,2.68463865333502,1894,25.0479698772307,-341,-4.03347286013096,3,"Mostly Dem","Rep2016","Large turnout change 2016","Large turnout change 2016",0,NA,"Some or no voting machines",NA
"52","Racine",2016,42506,45.37,46620,49.77,4552,4.86,4114,4.40000000000001,"Rep","Trump",93678,62.4986656703672,149888,-5.91284509113424,2.0290070043729,3.88383808676135,7775,7.94185209550715,-9686,-7.57149668600333,2,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly voting machines",81884.6753948655
"53","Richland",2016,3577,44.93,4021,50.5,364,4.57,444,5.57,"Rep","Trump",7962,56.3960900977476,14118,-12.4819006354708,9.21750433275563,3.26439630271519,1840,21.6994049682265,-693,-5.89698605022999,2,"Mostly Rep","Rep2016","Large turnout change 2016","Large turnout change 2016",0,NA,"Some or no voting machines",NA
"54","Rock",2016,39336,52.42,31483,41.95,4224,5.63,-7853,-10.47,"Dem","Clinton",75043,61.2851064524823,122449,-8.57764530920808,4.12994794894039,4.44769736026769,10849,12.7075932581485,-5647,-5.67199254345169,5,"Mostly Dem","Dem2016","Large turnout change 2016","Large turnout change 2016",1,"ES&S","Mostly voting machines",106896.005801386
"55","Rusk",2016,2171,30.89,4564,64.93,294,4.18,2393,34.04,"Rep","Trump",7029,60.2055674518201,11675,-16.3496050618829,13.8105451258518,2.53905993603115,2114,30.1601501877347,-162,-2.37928894504671,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.0303030303030303,"ES&S","Some or no voting machines",NA
